구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2024년01월,1643.37,1549.83,1525.07,1550.71,1549.80,1548.97,1541.43,1570.69,1588.21,1581.85,1576.47,1563.93,1580.71,1553.59,1557.21,1598.59,1568.53
2024년02월,1699.49,1601.44,1585.46,1615.29,1596.45,1610.61,1595.92,1619.48,1625.06,1620.19,1614.71,1601.74,1608.65,1600.85,1597.84,1680.29,1613.03
2024년03월,1716.28,1626.35,1608.40,1639.79,1622.39,1630.16,1620.52,1644.33,1647.79,1643.21,1642.22,1627.17,1637.46,1627.23,1623.95,1684.06,1636.13
2024년04월,1762.31,1672.06,1658.55,1692.94,1671.40,1691.52,1664.12,1693.78,1693.73,1696.34,1689.30,1679.23,1682.22,1671.23,1671.47,1757.66,1685.86
2024년05월,1763.77,1671.95,1664.11,1687.26,1684.94,1691.95,1663.00,1701.46,1714.50,1707.79,1702.96,1692.23,1704.38,1685.16,1684.32,1705.75,1696.38
2024년06월,1718.99,1631.96,1624.17,1637.98,1648.52,1641.71,1626.72,1656.46,1673.27,1668.88,1664.73,1655.01,1672.97,1645.14,1645.74,1682.44,1654.86
2024년07월,1774.36,1693.62,1685.46,1711.54,1690.72,1711.69,1683.58,1712.69,1712.76,1711.28,1705.73,1697.54,1707.32,1695.83,1691.00,1757.52,1705.75
2024년08월,1751.89,1669.05,1662.35,1692.98,1677.03,1678.25,1659.80,1692.80,1705.08,1696.43,1696.51,1683.13,1701.31,1681.54,1680.81,1713.11,1689.10
2024년09월,1686.26,1602.57,1580.38,1611.92,1601.84,1597.74,1591.92,1620.04,1639.16,1633.39,1636.64,1616.36,1639.23,1609.24,1614.19,1625.85,1622.58
2024년10월,1659.71,1569.45,1554.13,1581.72,1568.89,1577.59,1562.47,1593.21,1603.09,1603.69,1602.06,1586.85,1598.86,1577.27,1580.96,1609.92,1587.60
2024년11월,1697.97,1608.46,1597.46,1623.54,1610.24,1620.95,1600.56,1633.47,1638.18,1637.88,1633.82,1615.15,1628.50,1617.25,1614.18,1674.36,1631.65
2024년12월,1714.10,1641.77,1622.96,1648.96,1637.38,1640.63,1634.97,1657.44,1662.11,1662.62,1657.40,1640.49,1654.73,1647.02,1641.21,1691.59,1655.37
2025년01월,1776.75,1710.90,1682.76,1712.94,1691.84,1701.97,1698.83,1713.31,1715.83,1714.62,1709.80,1691.81,1705.40,1702.00,1698.28,1743.10,1705.81
2025년02월,1791.00,1720.76,1700.37,1727.58,1713.82,1714.08,1715.63,1730.23,1741.62,1733.52,1731.02,1710.87,1729.64,1722.86,1715.46,1768.41,1731.24
2025년03월,1747.02,1669.56,1654.48,1666.62,1676.71,1661.47,1664.63,1681.76,1711.75,1700.12,1694.14,1680.36,1704.94,1686.76,1677.71,1751.84,1683.17
2025년04월,1711.84,1619.77,1606.34,1628.05,1629.56,1615.95,1610.06,1640.71,1673.95,1657.80,1652.03,1642.85,1664.88,1639.99,1634.76,1709.51,1642.37
2025년05월,1709.48,1611.86,1596.78,1625.09,1618.22,1618.32,1599.87,1634.49,1659.29,1646.01,1643.27,1631.27,1648.36,1624.83,1623.07,1689.00,1631.47
2025년06월,1714.58,1627.39,1608.11,1639.40,1626.09,1628.00,1612.66,1642.36,1654.59,1650.49,1647.00,1633.80,1644.28,1631.16,1631.26,1697.45,1629.31
2025년07월,1738.73,1657.41,1639.75,1669.38,1652.25,1657.53,1639.48,1671.41,1678.62,1669.19,1671.34,1653.38,1665.52,1657.44,1657.59,1719.25,1650.41
2025년08월,1732.12,1656.78,1636.55,1657.72,1649.31,1649.00,1636.21,1665.89,1681.62,1669.24,1671.29,1655.80,1670.16,1657.78,1656.91,1710.68,1651.62
2025년09월,1720.79,1646.20,1629.10,1649.41,1644.20,1639.02,1632.11,1656.65,1678.08,1664.61,1666.43,1652.90,1665.56,1653.81,1652.67,1710.16,1646.50
2025년10월,1724.33,1644.10,1634.29,1654.84,1649.02,1645.96,1634.65,1660.18,1680.35,1667.04,1669.57,1657.11,1668.80,1657.66,1653.45,1722.43,1649.91
2025년11월,1787.70,1695.47,1692.41,1720.93,1705.19,1715.08,1696.19,1720.71,1727.85,1721.83,1721.92,1708.51,1719.22,1709.61,1701.05,1776.05,1712.51
2025년12월,1802.42,1718.54,1711.94,1734.34,1725.66,1723.01,1720.32,1737.32,1755.37,1745.67,1744.68,1731.96,1748.41,1735.22,1729.62,1789.54,1733.24
