연도,월,지역,연료,차종,등록대수
2020,1,강원도,경유,승용,688
2020,1,강원도,경유,승합,71
2020,1,강원도,경유,화물,574
2020,1,강원도,경유,특수,16
2020,1,강원도,수소,승용,0
2020,1,강원도,수소,승합,0
2020,1,강원도,수소,화물,0
2020,1,강원도,수소,특수,0
2020,1,강원도,전기,승용,1
2020,1,강원도,전기,승합,0
2020,1,강원도,전기,화물,0
2020,1,강원도,전기,특수,0
2020,1,강원도,하이브리드,승용,195
2020,1,강원도,하이브리드,승합,0
2020,1,강원도,하이브리드,화물,0
2020,1,강원도,하이브리드,특수,0
2020,1,강원도,휘발유,승용,277
2020,1,강원도,휘발유,승합,0
2020,1,강원도,휘발유,화물,57
2020,1,강원도,휘발유,특수,0
2020,1,경기도,경유,승용,4658
2020,1,경기도,경유,승합,634
2020,1,경기도,경유,화물,4296
2020,1,경기도,경유,특수,233
2020,1,경기도,수소,승용,2
2020,1,경기도,수소,승합,0
2020,1,경기도,수소,화물,0
2020,1,경기도,수소,특수,0
2020,1,경기도,전기,승용,15
2020,1,경기도,전기,승합,32
2020,1,경기도,전기,화물,23
2020,1,경기도,전기,특수,0
2020,1,경기도,하이브리드,승용,1520
2020,1,경기도,하이브리드,승합,0
2020,1,경기도,하이브리드,화물,0
2020,1,경기도,하이브리드,특수,0
2020,1,경기도,휘발유,승용,2422
2020,1,경기도,휘발유,승합,4
2020,1,경기도,휘발유,화물,309
2020,1,경기도,휘발유,특수,0
2020,1,경상남도,경유,승용,2318
2020,1,경상남도,경유,승합,144
2020,1,경상남도,경유,화물,1285
2020,1,경상남도,경유,특수,65
2020,1,경상남도,수소,승용,18
2020,1,경상남도,수소,승합,0
2020,1,경상남도,수소,화물,0
2020,1,경상남도,수소,특수,0
2020,1,경상남도,전기,승용,1
2020,1,경상남도,전기,승합,0
2020,1,경상남도,전기,화물,1
2020,1,경상남도,전기,특수,0
2020,1,경상남도,하이브리드,승용,487
2020,1,경상남도,하이브리드,승합,0
2020,1,경상남도,하이브리드,화물,0
2020,1,경상남도,하이브리드,특수,0
2020,1,경상남도,휘발유,승용,1760
2020,1,경상남도,휘발유,승합,0
2020,1,경상남도,휘발유,화물,60
2020,1,경상남도,휘발유,특수,0
2020,1,경상북도,경유,승용,777
2020,1,경상북도,경유,승합,120
2020,1,경상북도,경유,화물,891
2020,1,경상북도,경유,특수,49
2020,1,경상북도,수소,승용,0
2020,1,경상북도,수소,승합,0
2020,1,경상북도,수소,화물,0
2020,1,경상북도,수소,특수,0
2020,1,경상북도,전기,승용,1
2020,1,경상북도,전기,승합,0
2020,1,경상북도,전기,화물,0
2020,1,경상북도,전기,특수,0
2020,1,경상북도,하이브리드,승용,192
2020,1,경상북도,하이브리드,승합,0
2020,1,경상북도,하이브리드,화물,0
