날짜,지역,유종,가격
2024-01-01,강원도,GAS,1588.21
2024-01-01,강원도,DSL,1505.37
2024-01-01,경기도,GAS,1570.69
2024-01-01,경기도,DSL,1480.80
2024-01-01,경상남도,GAS,1557.21
2024-01-01,경상남도,DSL,1464.49
2024-01-01,경상북도,GAS,1553.59
2024-01-01,경상북도,DSL,1461.18
2024-01-01,광주광역시,GAS,1549.80
2024-01-01,광주광역시,DSL,1457.40
2024-01-01,대구광역시,GAS,1525.07
2024-01-01,대구광역시,DSL,1434.82
2024-01-01,대전광역시,GAS,1548.97
2024-01-01,대전광역시,DSL,1472.48
2024-01-01,부산광역시,GAS,1549.83
2024-01-01,부산광역시,DSL,1451.70
2024-01-01,서울특별시,GAS,1643.37
2024-01-01,서울특별시,DSL,1568.06
2024-01-01,세종특별자치시,GAS,1568.53
2024-01-01,세종특별자치시,DSL,1485.53
2024-01-01,울산광역시,GAS,1541.43
2024-01-01,울산광역시,DSL,1449.98
2024-01-01,인천광역시,GAS,1550.71
2024-01-01,인천광역시,DSL,1470.35
2024-01-01,전라남도,DSL,1490.18
2024-01-01,전라남도,GAS,1580.71
2024-01-01,전라북도,GAS,1563.93
2024-01-01,전라북도,DSL,1473.59
2024-01-01,제주특별자치도,GAS,1598.59
2024-01-01,제주특별자치도,DSL,1492.87
2024-01-01,충청남도,GAS,1576.47
2024-01-01,충청남도,DSL,1491.06
2024-01-01,충청북도,GAS,1581.85
2024-01-01,충청북도,DSL,1491.86
2024-02-01,강원도,GAS,1625.06
2024-02-01,강원도,DSL,1531.19
2024-02-01,경기도,GAS,1619.48
2024-02-01,경기도,DSL,1522.30
2024-02-01,경상남도,GAS,1597.84
2024-02-01,경상남도,DSL,1501.91
2024-02-01,경상북도,GAS,1600.85
2024-02-01,경상북도,DSL,1501.49
2024-02-01,광주광역시,GAS,1596.45
2024-02-01,광주광역시,DSL,1497.60
2024-02-01,대구광역시,GAS,1585.46
2024-02-01,대구광역시,DSL,1485.28
2024-02-01,대전광역시,GAS,1610.61
2024-02-01,대전광역시,DSL,1517.87
2024-02-01,부산광역시,GAS,1601.44
2024-02-01,부산광역시,DSL,1500.35
2024-02-01,서울특별시,GAS,1699.49
2024-02-01,서울특별시,DSL,1611.32
2024-02-01,세종특별자치시,GAS,1613.03
2024-02-01,세종특별자치시,DSL,1520.31
2024-02-01,울산광역시,GAS,1595.92
2024-02-01,울산광역시,DSL,1500.28
2024-02-01,인천광역시,GAS,1615.29
2024-02-01,인천광역시,DSL,1521.67
2024-02-01,전라남도,DSL,1511.07
2024-02-01,전라남도,GAS,1608.65
2024-02-01,전라북도,GAS,1601.74
2024-02-01,전라북도,DSL,1503.32
2024-02-01,제주특별자치도,GAS,1680.29
2024-02-01,제주특별자치도,DSL,1586.23
2024-02-01,충청남도,GAS,1614.71
2024-02-01,충청남도,DSL,1519.58
2024-02-01,충청북도,GAS,1620.19
2024-02-01,충청북도,DSL,1521.25
2024-03-01,강원도,GAS,1647.79
2024-03-01,강원도,DSL,1550.21
2024-03-01,경기도,GAS,1644.33
2024-03-01,경기도,DSL,1543.12
2024-03-01,경상남도,GAS,1623.95
2024-03-01,경상남도,DSL,1524.79
2024-03-01,경상북도,GAS,1627.23
2024-03-01,경상북도,DSL,1525.72
2024-03-01,광주광역시,GAS,1622.39
2024-03-01,광주광역시,DSL,1519.68
2024-03-01,대구광역시,GAS,1608.40
2024-03-01,대구광역시,DSL,1505.28
2024-03-01,대전광역시,GAS,1630.16
2024-03-01,대전광역시,DSL,1535.61
2024-03-01,부산광역시,GAS,1626.35
2024-03-01,부산광역시,DSL,1521.93
2024-03-01,서울특별시,GAS,1716.28
2024-03-01,서울특별시,DSL,1623.32
2024-03-01,세종특별자치시,GAS,1636.13
2024-03-01,세종특별자치시,DSL,1540.37
2024-03-01,울산광역시,GAS,1620.52
2024-03-01,울산광역시,DSL,1522.54
2024-03-01,인천광역시,GAS,1639.79
2024-03-01,인천광역시,DSL,1539.92
2024-03-01,전라남도,DSL,1537.53
2024-03-01,전라남도,GAS,1637.46
2024-03-01,전라북도,GAS,1627.17
2024-03-01,전라북도,DSL,1525.08
2024-03-01,제주특별자치도,GAS,1684.06
2024-03-01,제주특별자치도,DSL,1588.92
2024-03-01,충청남도,GAS,1642.22
2024-03-01,충청남도,DSL,1543.74
2024-03-01,충청북도,GAS,1643.21
2024-03-01,충청북도,DSL,1540.82
2024-04-01,강원도,GAS,1693.73
2024-04-01,강원도,DSL,1570.02
2024-04-01,경기도,GAS,1693.78
2024-04-01,경기도,DSL,1559.06
2024-04-01,경상남도,GAS,1671.47
2024-04-01,경상남도,DSL,1544.53
2024-04-01,경상북도,GAS,1671.23
2024-04-01,경상북도,DSL,1542.65
2024-04-01,광주광역시,GAS,1671.40
2024-04-01,광주광역시,DSL,1539.87
2024-04-01,대구광역시,GAS,1658.55
2024-04-01,대구광역시,DSL,1522.65
2024-04-01,대전광역시,GAS,1691.52
2024-04-01,대전광역시,DSL,1560.14
2024-04-01,부산광역시,GAS,1672.06
2024-04-01,부산광역시,DSL,1537.78
2024-04-01,서울특별시,GAS,1762.31
2024-04-01,서울특별시,DSL,1641.57
