연도,시도,시군구,차종,제조사,모델명,국비(만원),지방비(만원),보조금(만원)
2026,서울,서울특별시,일반승용,BMW,MINI Aceman E,400,120,520
2026,서울,서울특별시,일반승용,BMW,MINI Aceman SE,400,120,520
2026,서울,서울특별시,일반승용,BMW,MINI Cooper SE,396,118,514
2026,서울,서울특별시,일반승용,BMW,MINI Countryman E,217,65,282
2026,서울,서울특별시,일반승용,BMW,MINI Countryman SE ALL4,203,60,263
2026,서울,서울특별시,일반승용,BMW,MINI JCW Aceman E,197,59,256
2026,서울,서울특별시,일반승용,BMW,MINI JCW E,191,57,248
2026,서울,서울특별시,일반승용,BMW,i4 M60 LCI (71HD),233,69,302
2026,서울,서울특별시,일반승용,BMW,i4 eDrive 40 LCI(21HD),244,73,317
2026,서울,서울특별시,일반승용,BMW,i4 eDrive 40 LCI(61HD),256,76,332
2026,서울,서울특별시,일반승용,BMW,i5 eDrive 40,262,78,340
2026,서울,서울특별시,일반승용,BMW,iX1 eDrive20,212,63,275
2026,서울,서울특별시,일반승용,BMW,iX1 xDrive30,192,57,249
2026,서울,서울특별시,일반승용,BMW,iX2 eDrive20,214,64,278
2026,서울,서울특별시,일반승용,BMW,iX3 50 xDrive,275,0,275
2026,서울,서울특별시,일반승용,기아,EV3 GT,248,74,322
2026,서울,서울특별시,일반승용,기아,EV3 롱레인지 2WD 17인치,555,166,721
2026,서울,서울특별시,일반승용,기아,EV3 롱레인지 2WD 19인치,555,166,721
2026,서울,서울특별시,일반승용,기아,EV3 롱레인지 4WD 19인치,539,161,700
2026,서울,서울특별시,일반승용,기아,EV3 스탠다드 2WD,469,140,609
2026,서울,서울특별시,일반승용,기아,EV4 GT,255,76,331
2026,서울,서울특별시,일반승용,기아,EV4 롱레인지 2WD 17인치,555,166,721
2026,서울,서울특별시,일반승용,기아,EV4 롱레인지 2WD 19인치,555,166,721
2026,서울,서울특별시,일반승용,기아,EV4 롱레인지 4WD 19인치,554,166,720
2026,서울,서울특별시,일반승용,기아,EV4 롱레인지 GTL 2WD 19인치,555,166,721
2026,서울,서울특별시,일반승용,기아,EV4 스탠다드 2WD 17인치,512,153,665
2026,서울,서울특별시,일반승용,기아,EV4 스탠다드 2WD 19인치,481,144,625
2026,서울,서울특별시,일반승용,기아,EV5 GT,232,69,301
2026,서울,서울특별시,일반승용,기아,EV5 롱레인지 2WD,552,165,717
2026,서울,서울특별시,일반승용,기아,EV5 롱레인지 4WD 18인치,499,149,648
2026,서울,서울특별시,일반승용,기아,EV5 롱레인지 4WD 19인치,493,147,640
2026,서울,서울특별시,일반승용,기아,EV9 GT,245,73,318
2026,서울,서울특별시,일반승용,기아,EV9 롱레인지 2WD 19인치,270,81,351
2026,서울,서울특별시,일반승용,기아,EV9 롱레인지 2WD 20인치,268,80,348
2026,서울,서울특별시,일반승용,기아,EV9 롱레인지 4WD 19인치,254,76,330
2026,서울,서울특별시,일반승용,기아,EV9 롱레인지 4WD 21인치,260,78,338
2026,서울,서울특별시,일반승용,기아,EV9 롱레인지 GTL 4WD 21인치,252,75,327
2026,서울,서울특별시,일반승용,기아,EV9 스탠다드,237,71,308
2026,서울,서울특별시,일반승용,기아,PV5 패신저 5인승 롱레인지,458,137,595
2026,서울,서울특별시,일반승용,기아,Pv5 WAV(비용 미지원),648,194,842
2026,서울,서울특별시,일반승용,기아,Pv5 WAV(비용 지원),448,134,582
2026,서울,서울특별시,일반승용,기아,The all-new Kia Niro EV,489,146,635
2026,서울,서울특별시,일반승용,기아,더뉴EV6 롱레인지 2WD 19인치,570,171,741
2026,서울,서울특별시,일반승용,기아,더뉴EV6 롱레인지 2WD 20인치,559,167,726
2026,서울,서울특별시,일반승용,기아,더뉴EV6 롱레인지 4WD 19인치,561,168,729
2026,서울,서울특별시,일반승용,기아,더뉴EV6 롱레인지 4WD 20인치,532,159,691
2026,서울,서울특별시,일반승용,기아,더뉴EV6 스탠다드,501,150,651
2026,서울,서울특별시,경·소형,기아,레이 EV 2WD 14인치 1인승 밴,457,137,594
2026,서울,서울특별시,경·소형,기아,레이 EV 2WD 14인치 2인승 밴,457,137,594
2026,서울,서울특별시,경·소형,기아,레이 EV 2WD 14인치 4인승 승용,457,137,594
2026,서울,서울특별시,일반승용,메르세데스벤츠코리아,EQA 250(Facelift),190,57,247
2026,서울,서울특별시,일반승용,메르세데스벤츠코리아,EQB 300 4MATIC(Facelift),154,46,200
2026,서울,서울특별시,일반승용,메르세데스벤츠코리아,EQB 300 4MATIC(Facelift)(CY25/2),162,48,210
2026,서울,서울특별시,일반승용,볼보자동차코리아,볼보 EX30 Single Motor ER,247,74,321
2026,서울,서울특별시,일반승용,볼보자동차코리아,볼보 EX30CC Twin Motor Perf,222,66,288
2026,서울,서울특별시,일반승용,비와이디코리아,BYD ATTO 3,126,37,163
2026,서울,서울특별시,일반승용,비와이디코리아,BYD DOLPHIN,109,32,141
2026,서울,서울특별시,일반승용,비와이디코리아,BYD DOLPHIN Active,132,39,171
2026,서울,서울특별시,일반승용,비와이디코리아,BYD SEAL,169,50,219
2026,서울,서울특별시,일반승용,비와이디코리아,BYD SEAL Dynamic AWD,151,45,196
2026,서울,서울특별시,일반승용,비와이디코리아,BYD SEALION 7,152,45,197
2026,서울,서울특별시,일반승용,케이지모빌리티,토레스 EVX 18인치,354,106,460
2026,서울,서울특별시,일반승용,케이지모빌리티,토레스 EVX 18인치(2026),361,108,469
2026,서울,서울특별시,일반승용,케이지모빌리티,토레스 EVX 20인치,344,103,447
2026,서울,서울특별시,일반승용,케이지모빌리티,토레스 EVX 20인치(2026),354,106,460
2026,서울,서울특별시,일반승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,98,425
2026,서울,서울특별시,일반승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,93,405
2026,서울,서울특별시,일반승용,테슬라코리아,Model 3 Performance,200,60,260
2026,서울,서울특별시,일반승용,테슬라코리아,Model 3 Premium Long Range RWD,420,126,546
2026,서울,서울특별시,일반승용,테슬라코리아,Model 3 RWD,168,50,218
2026,서울,서울특별시,일반승용,테슬라코리아,Model 3 RWD(2025),168,50,218
2026,서울,서울특별시,일반승용,테슬라코리아,Model Y L AWD,210,63,273
2026,서울,서울특별시,일반승용,테슬라코리아,Model Y Long Range(2025),210,63,273
