구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2024년01월,1568.06,1451.70,1434.82,1470.35,1457.40,1472.48,1449.98,1480.80,1505.37,1491.86,1491.06,1473.59,1490.18,1461.18,1464.49,1492.87,1485.53
2024년02월,1611.32,1500.35,1485.28,1521.67,1497.60,1517.87,1500.28,1522.30,1531.19,1521.25,1519.58,1503.32,1511.07,1501.49,1501.91,1586.23,1520.31
2024년03월,1623.32,1521.93,1505.28,1539.92,1519.68,1535.61,1522.54,1543.12,1550.21,1540.82,1543.74,1525.08,1537.53,1525.72,1524.79,1588.92,1540.37
2024년04월,1641.57,1537.78,1522.65,1558.05,1539.87,1560.14,1535.32,1559.06,1570.02,1560.15,1564.47,1544.35,1558.04,1542.65,1544.53,1635.42,1558.99
2024년05월,1627.24,1515.16,1495.47,1526.28,1520.67,1538.74,1511.88,1537.43,1563.95,1545.49,1549.20,1527.16,1554.54,1522.56,1531.27,1558.92,1541.58
2024년06월,1580.46,1467.08,1441.93,1459.57,1473.58,1483.56,1464.65,1483.08,1511.38,1496.42,1495.24,1477.95,1508.03,1466.84,1477.23,1530.89,1486.46
2024년07월,1637.64,1530.19,1512.06,1546.70,1522.50,1557.84,1520.96,1548.30,1553.23,1544.71,1540.33,1526.00,1543.24,1522.24,1524.91,1613.79,1541.33
2024년08월,1615.62,1507.17,1492.63,1535.63,1510.53,1528.09,1501.27,1529.60,1548.93,1532.70,1534.13,1514.41,1536.88,1511.44,1517.03,1564.53,1525.78
2024년09월,1544.18,1435.19,1415.41,1450.28,1435.84,1453.31,1433.22,1452.72,1479.94,1466.10,1470.94,1449.32,1474.51,1443.08,1448.29,1473.68,1459.24
2024년10월,1511.46,1394.06,1379.85,1418.79,1395.78,1420.85,1399.35,1418.79,1440.30,1428.60,1430.32,1415.12,1430.18,1407.34,1408.04,1453.94,1421.70
2024년11월,1552.60,1434.12,1424.26,1465.04,1436.80,1462.46,1437.38,1463.43,1476.98,1466.57,1466.19,1446.01,1458.51,1448.44,1445.46,1527.02,1465.74
2024년12월,1576.73,1480.94,1464.66,1495.39,1479.50,1494.41,1476.16,1498.25,1509.09,1501.14,1500.74,1484.38,1494.97,1488.14,1487.31,1548.79,1501.75
2025년01월,1643.45,1554.23,1534.73,1568.22,1545.93,1564.16,1546.99,1566.29,1571.22,1566.79,1565.65,1548.80,1557.02,1552.44,1555.61,1605.65,1565.55
2025년02월,1665.71,1579.33,1562.80,1594.80,1583.60,1592.72,1575.90,1594.77,1606.84,1599.32,1598.19,1579.21,1593.28,1582.48,1584.05,1645.38,1603.68
2025년03월,1625.31,1531.36,1517.56,1534.43,1548.83,1541.39,1528.37,1546.24,1579.58,1565.20,1561.31,1549.70,1569.64,1545.63,1545.85,1614.45,1560.00
2025년04월,1592.64,1481.91,1469.02,1501.87,1502.40,1497.68,1474.98,1505.40,1541.68,1523.92,1520.00,1512.32,1530.85,1499.47,1502.51,1559.51,1516.40
2025년05월,1592.06,1474.67,1457.75,1499.86,1489.87,1499.99,1463.44,1498.32,1525.82,1511.45,1509.34,1498.24,1513.77,1484.17,1488.69,1545.36,1501.89
2025년06월,1593.57,1489.33,1466.97,1506.37,1494.97,1505.56,1483.76,1502.53,1519.43,1513.90,1509.67,1497.69,1507.43,1491.00,1493.62,1557.12,1500.88
2025년07월,1618.38,1521.55,1498.24,1533.68,1520.13,1532.44,1518.80,1531.24,1544.06,1535.66,1532.47,1517.23,1529.76,1519.44,1520.92,1583.80,1523.82
2025년08월,1614.59,1528.17,1500.34,1530.79,1523.43,1530.09,1516.00,1531.97,1552.67,1540.98,1539.43,1526.32,1540.23,1523.44,1526.80,1586.50,1528.76
2025년09월,1604.30,1519.53,1495.20,1525.20,1520.07,1520.41,1513.07,1523.50,1550.49,1537.20,1535.47,1523.73,1536.94,1519.88,1523.24,1585.84,1524.24
2025년10월,1610.52,1519.82,1504.84,1534.16,1525.95,1530.28,1517.27,1530.56,1554.67,1541.60,1540.76,1529.05,1542.93,1526.58,1526.32,1613.63,1527.99
2025년11월,1693.34,1599.41,1593.92,1623.87,1608.18,1625.23,1610.34,1620.86,1630.32,1620.46,1618.87,1605.80,1618.71,1607.34,1602.82,1698.86,1615.89
2025년12월,1712.71,1630.66,1623.15,1643.48,1633.98,1641.29,1638.50,1644.26,1672.31,1648.98,1653.28,1638.03,1661.78,1646.57,1642.49,1715.75,1646.53
